2026-04-09T13:02:00.718919300Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.29 time=2026-04-09T13:01:50Z
2026-04-09T14:02:20.583970424Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=45 price=81.77 allow=0 mode=blocked reclaimAge=na ext21=-0.272 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=none
2026-04-09T14:05:40.398891366Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.78 time=2026-04-09T14:05:31Z
2026-04-09T14:05:40.398899265Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=46 price=81.78 allow=0 mode=blocked reclaimAge=na ext21=-0.235 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=none
2026-04-09T14:08:40.086842209Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.72 time=2026-04-09T14:08:32Z
2026-04-09T14:08:40.086850585Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=47 price=81.72 allow=0 mode=blocked reclaimAge=na ext21=-0.278 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,fwo_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=none
2026-04-09T14:11:49.915294552Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.72 time=2026-04-09T14:11:47Z
2026-04-09T14:11:49.915298234Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=48 price=81.72 allow=0 mode=blocked reclaimAge=na ext21=-0.255 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,rsi_not_above_ma,fwo_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=none
2026-04-09T14:15:10.691768311Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.91 time=2026-04-09T14:15:02Z
2026-04-09T14:15:10.691772003Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=50 price=81.91 allow=0 mode=blocked reclaimAge=1 ext21=-0.021 hostile=0 reasons=low_too_old,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_not_rising,not_bull_candle,rsi_too_low,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T14:18:21.283830844Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.76 time=2026-04-09T14:18:17Z
2026-04-09T14:18:21.283838541Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=51 price=81.76 allow=0 mode=blocked reclaimAge=2 ext21=-0.171 hostile=0 reasons=low_too_old,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,fwo_not_rising,not_bull_candle,ema8_not_rising,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T14:21:41.537026250Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.67 time=2026-04-09T14:21:31Z
2026-04-09T14:21:41.537031178Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=52 price=81.67 allow=0 mode=blocked reclaimAge=3 ext21=-0.247 hostile=0 reasons=weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,fresh_low_after_reclaim,no_fresh_reclaim,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T14:24:32.550599631Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.74 time=2026-04-09T14:24:31Z
2026-04-09T14:24:32.550605348Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=53 price=81.74 allow=0 mode=blocked reclaimAge=4 ext21=-0.149 hostile=0 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,fwo_not_recovered,ema8_not_rising,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T14:27:54.146449600Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.48 time=2026-04-09T14:27:46Z
2026-04-09T14:27:54.146454205Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=54 price=81.48 allow=0 mode=blocked reclaimAge=5 ext21=-0.416 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T14:30:54.327228423Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.61 time=2026-04-09T14:30:47Z
2026-04-09T14:30:54.327235484Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=55 price=81.61 allow=0 mode=blocked reclaimAge=6 ext21=-0.239 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,fwo_not_recovered,fwo_not_rising,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T14:34:14.196317598Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.54 time=2026-04-09T14:34:05Z
2026-04-09T14:34:14.196324436Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=56 price=81.54 allow=0 mode=blocked reclaimAge=7 ext21=-0.291 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T14:37:24.966220252Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.56 time=2026-04-09T14:37:16Z
2026-04-09T14:37:24.966226111Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=57 price=81.56 allow=0 mode=blocked reclaimAge=8 ext21=-0.249 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,fwo_not_recovered,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T14:40:25.797260718Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.79 time=2026-04-09T14:40:18Z
2026-04-09T14:40:25.797268170Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=58 price=81.79 allow=1 mode=early_breakout_launch reclaimAge=0 ext21=0.014 hostile=0 reasons=na lastAction=none
2026-04-09T14:43:36.582698221Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.87 time=2026-04-09T14:43:31Z
2026-04-09T14:43:36.582706131Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=59 price=81.87 allow=1 mode=early_breakout_launch reclaimAge=1 ext21=0.095 hostile=0 reasons=na lastAction=none
2026-04-09T14:46:37.209568856Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.05 time=2026-04-09T14:46:31Z
2026-04-09T14:46:37.209576295Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=60 price=82.05 allow=1 mode=breakout_continuation reclaimAge=2 ext21=0.289 hostile=0 reasons=na lastAction=none
2026-04-09T14:49:47.012471635Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.11 time=2026-04-09T14:49:46Z
2026-04-09T14:49:47.012476979Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=61 price=82.11 allow=1 mode=breakout_continuation reclaimAge=3 ext21=0.323 hostile=0 reasons=na lastAction=none
2026-04-09T14:52:47.706105636Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.1 time=2026-04-09T14:52:46Z
2026-04-09T14:52:47.706111228Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=62 price=82.1 allow=1 mode=breakout_continuation reclaimAge=4 ext21=0.266 hostile=0 reasons=na lastAction=none
2026-04-09T14:56:07.518991589Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=63 price=82.25 allow=1 mode=breakout_continuation reclaimAge=5 ext21=0.401 hostile=0 reasons=na lastAction=none
2026-04-09T14:56:07.519071246Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.25 time=2026-04-09T14:56:02Z
2026-04-09T14:59:18.142299530Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.14 time=2026-04-09T14:59:17Z
2026-04-09T14:59:18.142304745Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=64 price=82.14 allow=1 mode=breakout_continuation reclaimAge=6 ext21=0.252 hostile=0 reasons=na lastAction=none
2026-04-09T15:02:37.988539398Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.09 time=2026-04-09T15:02:35Z
2026-04-09T15:02:37.988542799Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=65 price=82.09 allow=1 mode=breakout_continuation reclaimAge=7 ext21=0.168 hostile=0 reasons=na lastAction=none
2026-04-09T15:05:47.773037245Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.04 time=2026-04-09T15:05:46Z
2026-04-09T15:05:47.773051829Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=66 price=82.04 allow=1 mode=breakout_continuation reclaimAge=8 ext21=0.102 hostile=0 reasons=na lastAction=none
2026-04-09T15:08:48.336551731Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.98 time=2026-04-09T15:08:46Z
2026-04-09T15:08:48.336556847Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=67 price=81.98 allow=0 mode=blocked reclaimAge=na ext21=0.026 hostile=0 reasons=low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=none
2026-04-09T15:11:58.135768486Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.01 time=2026-04-09T15:11:49Z
2026-04-09T15:11:58.135778552Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=68 price=82.01 allow=0 mode=blocked reclaimAge=na ext21=0.057 hostile=0 reasons=low_too_old,no_fresh_reclaim,weak_body,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,ema8_not_rising,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=none
2026-04-09T15:15:08.672019031Z [inf]  }
2026-04-09T15:15:08.672032125Z [inf]  ⛔ BUY BLOCKED | symbol=BINANCE:SOLUSDT price=82.47 | mode=blocked | reasons=low_too_old,no_fresh_reclaim,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim
2026-04-09T15:15:08.672038651Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.47 time=2026-04-09T15:15:01Z
2026-04-09T15:15:08.672044745Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=70 price=82.47 allow=0 mode=blocked reclaimAge=na ext21=0.509 hostile=0 reasons=low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,not_bull_candle,no_launch_break_flag,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T15:15:08.672054786Z [inf]  ==== NEW WEBHOOK ====
2026-04-09T15:15:08.672058635Z [inf]  {
2026-04-09T15:15:08.672061984Z [inf]    secret: 'CHANGE_ME_TO_RANDOM_40+CHARS_9f8d7c6b5a4e3d2c1b0a',
2026-04-09T15:15:08.672065401Z [inf]    src: 'enter_long',
2026-04-09T15:15:08.672069368Z [inf]    action: 'enter_long',
2026-04-09T15:15:08.672074193Z [inf]    symbol: 'BINANCE:SOLUSDT',
2026-04-09T15:15:08.672078397Z [inf]    price: '82.47',
2026-04-09T15:15:08.672082885Z [inf]    time: '2026-04-09T15:15:01Z'
2026-04-09T15:18:18.478682350Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.51 time=2026-04-09T15:18:16Z
2026-04-09T15:18:18.478690717Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=71 price=82.51 allow=0 mode=blocked reclaimAge=na ext21=0.504 hostile=0 reasons=low_too_old,no_fresh_reclaim,weak_body,no_launch_break_flag,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T15:21:18.326454446Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.43 time=2026-04-09T15:21:16Z
2026-04-09T15:21:18.326461699Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=72 price=82.43 allow=0 mode=blocked reclaimAge=na ext21=0.378 hostile=0 reasons=low_too_old,no_fresh_reclaim,weak_body,not_bull_candle,no_launch_break_flag,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T15:24:39.157194187Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.42 time=2026-04-09T15:24:32Z
2026-04-09T15:24:39.157201566Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=73 price=82.42 allow=0 mode=blocked reclaimAge=na ext21=0.330 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,rsi_not_above_ma,not_bull_candle,no_launch_break_flag,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T15:27:40.007727094Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.37 time=2026-04-09T15:27:32Z
2026-04-09T15:27:40.007732775Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=74 price=82.37 allow=0 mode=blocked reclaimAge=na ext21=0.244 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,rsi_not_above_ma,fwo_not_rising,not_bull_candle,no_launch_break_flag,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T15:30:51.067159237Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.23 time=2026-04-09T15:30:47Z
2026-04-09T15:30:51.067163974Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=75 price=82.23 allow=0 mode=blocked reclaimAge=na ext21=0.073 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
