2026-04-08T12:22:23.204205762Z [inf]  ✅ RECOVERY_MIN_SCORE=5
2026-04-08T12:22:23.206697673Z [inf]  📉 TREND_MIN_PROGRESS_PCT=0.15
2026-04-08T12:22:23.206700463Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=startup
2026-04-08T12:22:23.206702983Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T12:22:23.206705493Z [inf]  🔄 3C API body={"error":"access_denied","error_description":"This IP address is not allowed to use this key"}
2026-04-08T12:22:23.206708323Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"access_denied","error_description":"This IP address is not allowed to use this key"}
2026-04-08T12:22:23.425533979Z [inf]  Starting Container
2026-04-08T12:22:32.093532740Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.19 time=2026-04-08T12:22:31.899Z
2026-04-08T12:24:11.925165701Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:24:11.925170211Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.23 ema8=84.39027498288824 ema18=84.43535158814409 ema50=84.51814486748444 rsi=37.447938108506484 atr=0.1356167328550432 atrPct=0.1610076372492499 adx=24.93328826483664 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.0830367734282244 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:24:11.925174411Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:24:11.925179201Z [inf]  ⏳ detectSetups waiting bars=1/8
2026-04-08T12:25:32.290364561Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:25:32.290368321Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T12:25:32.290371811Z [inf]  🔄 3C API body={"error":"access_denied","error_description":"This IP address is not allowed to use this key"}
2026-04-08T12:25:32.290374751Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"access_denied","error_description":"This IP address is not allowed to use this key"}
2026-04-08T12:25:52.296580267Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.24 time=2026-04-08T12:25:50.880Z
2026-04-08T12:27:11.945563811Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:27:11.945567491Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.29 ema8=84.36799165335752 ema18=84.42005142097102 ema50=84.50919800993603 rsi=41.18711381559553 atr=0.1337869662225401 atrPct=0.1587222282863212 adx=26.04015563942008 oiTrend=0 oiDeltaBias=-1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=0.0712335272468269 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:27:11.945570841Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:27:11.945573241Z [inf]  ⏳ detectSetups waiting bars=2/8
2026-04-08T12:28:32.001617830Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:28:32.001621800Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T12:28:32.001626480Z [inf]  🔄 3C API body={"error":"access_denied","error_description":"This IP address is not allowed to use this key"}
2026-04-08T12:28:32.001629550Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"access_denied","error_description":"This IP address is not allowed to use this key"}
2026-04-08T12:29:11.687174843Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.35 time=2026-04-08T12:29:03.498Z
2026-04-08T12:30:11.717979502Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:30:11.717985082Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.36 ema8=84.36621573038919 ema18=84.41373021876355 ema50=84.5033471075856 rsi=45.29565407018937 atr=0.1306593257780722 atrPct=0.1548830319796967 adx=26.611146778267646 oiTrend=0 oiDeltaBias=-1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=0.0830466247478861 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:30:11.717989282Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:30:11.717992452Z [inf]  ⏳ detectSetups waiting bars=3/8
2026-04-08T12:31:31.832476755Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:31:31.832481035Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T12:31:31.832485085Z [inf]  🔄 3C API body={"error":"access_denied","error_description":"This IP address is not allowed to use this key"}
2026-04-08T12:31:31.832489965Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"access_denied","error_description":"This IP address is not allowed to use this key"}
2026-04-08T12:32:21.534509548Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.38 time=2026-04-08T12:32:16.827Z
2026-04-08T12:33:11.541152110Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:33:11.541156590Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.39 ema8=84.37150112363604 ema18=84.41123230099896 ema50=84.4989021229744 rsi=47.00434386468232 atr=0.129183659651067 atrPct=0.1530793454805865 adx=26.91219758457569 oiTrend=0 oiDeltaBias=-1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=0.0355618776671422 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:33:11.541159470Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:33:11.541161900Z [inf]  ⏳ detectSetups waiting bars=4/8
2026-04-08T12:34:31.709499198Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:34:31.709503298Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T12:34:31.709508108Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:34:31.709512397Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:34:51.367383308Z [inf]  🟦 LIVE TICKS BINANCE:SOLUSDT count=50 px=84.51
2026-04-08T12:35:21.371917227Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.51 time=2026-04-08T12:35:16.868Z
2026-04-08T12:36:11.406399100Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:36:11.406404070Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.54 ema8=84.40894531838359 ema18=84.42478679563065 ema50=84.50051380442639 rsi=54.63432494638477 atr=0.1306705411045626 atrPct=0.1545665260285813 adx=25.763349994275025 oiTrend=0 oiDeltaBias=-1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=0.1777461784571699 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:36:11.406409019Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:36:11.406414469Z [inf]  ⏳ detectSetups waiting bars=5/8
2026-04-08T12:37:31.443620135Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:37:31.443623305Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T12:37:31.443626325Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:37:31.443628804Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:38:41.139677759Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.59 time=2026-04-08T12:38:32.099Z
2026-04-08T12:39:11.152916461Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:39:11.152921471Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.61 ema8=84.45362413652057 ema18=84.44428292240637 ema50=84.50480738072339 rsi=57.695322882036514 atr=0.1299083595970942 atrPct=0.1535378319313251 adx=23.98253929052325 oiTrend=0 oiDeltaBias=0 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.0828010409273636 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:39:11.152924511Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:39:11.152927831Z [inf]  ⏳ detectSetups waiting bars=6/8
2026-04-08T12:40:31.411822383Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:40:31.411826743Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T12:40:31.411831283Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:40:31.411834513Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:41:51.098849373Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.57 time=2026-04-08T12:41:47.712Z
2026-04-08T12:42:11.101435442Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:42:11.101439692Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.54 ema8=84.47281877284934 ema18=84.45435840425833 ema50=84.50618748344012 rsi=53.78693935075125 atr=0.1292006196258725 atrPct=0.1528277970497663 adx=22.48588852366432 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=0 priceDropPct=-0.0827325375251072 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:42:11.101443792Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:42:11.101447692Z [inf]  ⏳ detectSetups waiting bars=7/8
2026-04-08T12:43:30.836633705Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:43:30.836637395Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T12:43:30.836642215Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:43:30.836646494Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:44:50.891876504Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.58 time=2026-04-08T12:44:47.877Z
2026-04-08T12:45:10.889296772Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:45:10.889300822Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.62 ema8=84.50552571221615 ema18=84.47179436170482 ema50=84.51065071938363 rsi=57.34341077547856 atr=0.1264005753668808 atrPct=0.1493743504690154 adx=21.096141383009588 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.0946297610598513 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:45:10.889307022Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:45:10.889311742Z [inf]  🔎 SETUPCHK localLow=84.2300 ema50=84.5107 washout=0 reclaimed=1 rsiUp=1
2026-04-08T12:45:10.889315452Z [inf]  🚫 shallow recovery rejected | score=8.00 flow=1 oiD=-1 cvd=1
2026-04-08T12:45:10.889319522Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T12:46:30.603764672Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:46:30.603768062Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T12:46:30.603771112Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:46:30.603773982Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:47:20.612063431Z [inf]  🟦 LIVE TICKS BINANCE:SOLUSDT count=100 px=84.59
2026-04-08T12:48:10.234234807Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:48:10.234240237Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.56 ema8=84.51763110950145 ema18=84.48107916573589 ema50=84.51258598529016 rsi=53.9876211316714 atr=0.1280862485549612 atrPct=0.1514738038729437 adx=20.144262318385717 oiTrend=0 oiDeltaBias=0 cvdTrend=1 liqClusterBelow=0 priceDropPct=-0.0709052233514562 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:48:10.234246577Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:48:10.234251547Z [inf]  🔎 SETUPCHK localLow=84.2300 ema50=84.5126 washout=0 reclaimed=1 rsiUp=0
2026-04-08T12:48:10.234259906Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T12:48:10.234266256Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.56 time=2026-04-08T12:48:02.534Z
2026-04-08T12:49:30.559797386Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:49:30.559801466Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T12:49:30.559805636Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:49:30.559810165Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T12:51:10.249296219Z [inf]  🎯 recovery entry check type=shallow_recovery_reclaim ageMin=0.0 nearEma8Pct=0.113 nearEma18Pct=0.168 bouncePct=0.000 score=9 flow=3
2026-04-08T12:51:10.249341318Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:51:10.249346848Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.64 ema8=84.54482419627891 ema18=84.4978076746058 ema50=84.517582613318 rsi=57.55433272695904 atr=0.1289372308010354 atrPct=0.1523360477327923 adx=19.260374615520693 oiTrend=1 oiDeltaBias=1 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.0946073793755893 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:51:10.249354238Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:51:10.249358278Z [inf]  🔎 SETUPCHK localLow=84.2300 ema50=84.5176 washout=0 reclaimed=1 rsiUp=1
2026-04-08T12:51:10.249366278Z [inf]  🟩 Armed shallow_recovery_reclaim trigger=84.6400 level=84.5448 inv=84.1037 score=9 flow=3
2026-04-08T12:51:10.249370058Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.64 time=2026-04-08T12:51:03.081Z
2026-04-08T12:51:17.087721522Z [inf]  🎯 recovery entry check type=shallow_recovery_reclaim ageMin=0.2 nearEma8Pct=0.113 nearEma18Pct=0.168 bouncePct=0.000 score=9 flow=3
2026-04-08T12:51:37.148687442Z [inf]  🎯 recovery entry check type=shallow_recovery_reclaim ageMin=0.5 nearEma8Pct=0.136 nearEma18Pct=0.192 bouncePct=0.024 score=9 flow=3
2026-04-08T12:51:37.148692292Z [inf]  📥 ENTER BINANCE:SOLUSDT BrainPhase2_DemoLong_v3.7i|shallow_recovery_reclaim|score=9|grade=SR|flow=3|reg=range|riskPct=0.35|riskUsd=4.0|stopDist=0.65715|volPct=20.24|flowCap=45.00|oiT=1|oiD=1|cvd=1|liq=0|drop=0.0946073793755893|pA=0 price=84.66 sizeMult=0.38|note=recovery confirmed
2026-04-08T12:51:37.148696892Z [inf]  📦 3C PAYLOAD {"secret":"eyJhbGciOiJIUzI1NiJ9.eyJzaWduYWxzX3NvdXJjZV9pZCI6MTUzMTM5fQ.Srf5-FSdAd7Pw3quIqIGiYAdE2cznVvSAETQD1uet8I","bot_uuid":"26626591-bb3e-4cda-8638-d3f6ce328a74","max_lag":"301","timestamp":"2026-04-08T12:51:33.149Z","trigger_price":"84.66","tv_exchange":"BINANCE","tv_instrument":"SOLUSDT","action":"enter_long","comment":"BrainPhase2_DemoLong_v3.7i|shallow_recovery_reclaim|score=9|grade=SR|flow=3|reg=range|riskPct=0.35|riskUsd=3.99|stopDist=0.65715|volPct=20.24|flowCap=45.00|oiT=1|oiD=1|cvd=1|liq=0|drop=0.0946073793755893|pA=0","order":{"amount":"20.24","currency_type":"margin_percent","order_type":"market"}}
2026-04-08T12:51:37.148702152Z [inf]  📦 3C RESPONSE status=200 body=
2026-04-08T12:51:37.148706022Z [inf]  📨 3Commas enter_long status=200
2026-04-08T12:51:37.148711392Z [inf]  🧹 Setup cleared (entered) type=shallow_recovery_reclaim
2026-04-08T12:52:27.456608145Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:54:07.882189716Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:54:07.882194216Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.58 ema8=84.55264104155026 ema18=84.5064594983315 ema50=84.52003035397219 rsi=54.16320896493564 atr=0.1261560000295331 atrPct=0.1491558288360524 adx=18.53169162007362 oiTrend=0 oiDeltaBias=-1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.0708884688090764 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:54:07.882198656Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:54:07.882203316Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 grade=na flow=0 inPos=1 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T12:54:27.605143747Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.56 time=2026-04-08T12:54:18.844Z
2026-04-08T12:55:27.638925198Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:57:07.746817608Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T12:57:07.746834188Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 grade=na flow=0 inPos=1 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T12:57:07.746839838Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T12:57:07.746854488Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.62 ema8=84.56760969898353 ema18=84.51841113008608 ema50=84.52395073224778 rsi=56.02349510873289 atr=0.1235734285988525 atrPct=0.1460333592517755 adx=17.309865883638565 oiTrend=0 oiDeltaBias=0 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.0472925041381015 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T12:57:27.882278354Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.61 time=2026-04-08T12:57:19.661Z
2026-04-08T12:58:28.157923686Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T12:59:57.912539644Z [inf]  🟦 LIVE TICKS BINANCE:SOLUSDT count=150 px=84.54
2026-04-08T13:00:17.911285647Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:00:17.911289977Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.54 ema8=84.56147421032053 ema18=84.5206836427086 ema50=84.52458011529689 rsi=51.5199391254569 atr=0.1283181836989342 atrPct=0.1517839882883064 adx=16.84735599705424 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.0945402978019361 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:00:17.911292997Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:00:17.911296057Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 grade=na flow=0 inPos=1 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:00:37.906875341Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.55 time=2026-04-08T13:00:31.897Z
2026-04-08T13:01:27.508740240Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
